#,Name,Icon,Image,Section,Description,Common Locations 1,Common Locations 2,Fuse Attack Power,Hearts Recovered,Unique Cooking Effects,Properties (Strength),Properties (Effect),Recoverable Materials 1,Recoverable Materials 2,Recoverable Materials 3,Recoverable Materials 4,Recoverable Materials 5,Recoverable Materials 6,Recoverable Materials 7,Recoverable Materials 8,Recoverable Materials 9,Recoverable Materials 10,Recoverable Materials 11,Recoverable Materials 12,Enemy Sensor Target 1,Enemy Sensor Target 2,Quest Required To Purchase,Name (Japanese),Description (Japanese),SpecialDeal,ActorName
046,Pink Heron,,,Creatures,"This breed of heron is characterized by the
pink tips of its feathers. Unlike its waterfront-
dwelling relative the blue-winged heron, these
live in grasslands or arid regions and subsist
on insects that live in the grass. They can
often be found walking about searching for
food but will fly away if they sense danger.",Hyrule Field,Central Hyrule Sky,-,-,-,-,-,Raw Bird Drumstick,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,モモイロサギ,"羽の先端と頭部が 美しい桃色をした鳥
水辺に住むアオバサギと異なり
草原や乾燥地帯に生息している
岩陰や草むらの昆虫を ついばんで食べる
細い脚で歩きながら餌を探す事が多いが
危険を感じると 飛んで逃げてしまう",,Animal_Heron_B
047,Islander Hawk,,,Creatures,"These carnivorous birds live in plains or
highlands. They use their sharp talons
and beaks to catch and eat small animals
and other birds. They soar calmly through
the sky and search for prey from above.",Hyrule Ridge,Gerudo Canyon,-,-,-,-,-,Raw Bird Thigh,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,シマオタカ,"平原や高地に生息する肉食の鳥
鋭い爪とクチバシを持ち
他の鳥や小動物を捕えて 食糧としている
いつも高い所を悠然と飛んでおり
地上の獲物を探している",,Animal_Hawk_A
048,Seagull,,,Creatures,"These birds live near the ocean. They eat
mainly fish, so a flock of seagulls hovering
over water is a good indication of where
there are fish. Fishermen use this to their
advantage when searching for a catch
of their own.",Necluda Sea,Lanayru Sea,-,-,-,-,-,Raw Bird Drumstick,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ウミカモメ,"海の近くに生息する鳥
主に魚類を食べて生活するため
魚の群れが泳いでいる海上に 
ウミカモメが飛んでいる事がよくある
海の漁師は 魚群の場所を探す時に
この習性を利用している",,Animal_Gull_A
049,Cloud Seagull,,,Creatures,"This seagull subspecies dwells mostly at high
altitudes and is rarely seen on the surface, 
although one can occasionally be glimpsed
through the clouds. They excel at catching
updrafts and gliding around the sky, rarely
flapping their wings.",Great Sky Island,North Necluda Sky Archipelago,-,-,-,-,-,Raw Bird Drumstick,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ウンカイカモメ,"高空にのみ生息する ウミカモメの亜種
地上で見ることはめったになく 雲の合間から
時折姿を見せることがあると言われている
上昇気流をつかむのが得意で ほとんど
羽ばたくことなく大空を回遊している",,Animal_SkyGull_A
050,Eldin Ostrich,,,Creatures,"This large bird makes its home in the volcanic
region of Eldin. Their heat-resistant feathers
and skin are evolutionary traits produced by
the harsh environment. Their wings are too
small to facilitate flight, but their long legs
make them pretty speedy runners.",Death Mountain,Eldin Mountains,-,-,-,-,-,Raw Bird Thigh,Raw Whole Bird,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,オルディンダチョウ,"オルディン地方の火山地帯に生息する 大型の鳥
火山という過酷な環境に適応する形で進化し
羽毛や皮膚が 高い耐火性能を持っている
翼は小さく 飛ぶことができない鳥だが
脚がとても発達しており 走るのが速い",,Animal_Cassowary_A
051,Forest Ostrich,,,Creatures,"Flightless birds that are thought to have roamed
all over Hyrule back when it had more grasslands.
They resist cold but don't do well in hot climates
because of their thick body covering. They're very
alert and often turn their attention from the grass
to look around.",Great Sky Island,South Lanayru Sky Archipelago,-,-,-,-,-,Raw Meat,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,シンリンダチョウ,"ハイラルの大地が 樹木に覆われていたころ
大量に生息していたと言われている 飛べない鳥
長い体毛により寒さに強い反面 暑さには弱い
警戒心が強く いつも草むらから首を伸ばして
周囲を伺っている",,Animal_SkyCassowary_A
052,Cucco,,,Creatures,"Villages often raise these birds for their eggs,
but some people actually keep them as pets.
They can't fly but can flap their wings mighty
furiously if picked up. They're usually calm
creatures, but if you're persistent in your
torment of them... Well...",Hyrule Field,West Necluda,-,-,-,-,-,Bird Egg,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,コッコ,"村でタマゴを取る目的で飼われている鳥
一部ではペットとしても親しまれている
普段は飛ぶことはないが 人に持ち上げられると
驚いて激しく羽ばたきを続ける習性がある
基本的には大人しく 臆病な性格だが
あまりしつこく突っつくと…",,Animal_Kokko_A
053,Hyrule Bass,,,Creatures,"An ordinary fish that hasn't changed for
ages. It can be eaten raw, but cooking
it amplifies its healing benefits.",Hyrule Field,West Necluda,-,-,-,-,-,Hyrule Bass,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ハイラルバス,"はるか昔から 姿形が変わらない 一般的な魚
そのままでも食べられるが 調理すると
回復効果も大きくなる",,Item_FishGet_A
054,Hearty Bass,,,Creatures,"This large fish lives near the water's edge.
Its sizable body can store a lot of nutrients.
When used in cooking, it'll restore all your
hearts and increase your maximum hearts.",Tabantha Sky Archipelago,West Hebra Sky Archipelago,-,-,-,-,-,Hearty Bass,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,マックスバス,"水辺に棲む大型の魚 大きな体にたくさんの
栄養を蓄えていて 料理に使うとハートを全回復し
さらに最大値を増やす効果がある",,Item_FishGet_B
055,Staminoka Bass,,,Creatures,"This Hyrule bass got to be the biggest fish
by never getting caught (until now). Its long
life results in a cooked dish that will restore
a lot of stamina.",Hyrule Field,West Necluda,-,-,-,-,-,Staminoka Bass,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ガンバリバス,"長い間生きたハイラルバスと言われている
生命力が非常に強く 調理して食べると
がんばりゲージが一気に回復する",,Item_FishGet_L
056,Hearty Salmon,,,Creatures,"This fish makes its home in cold water, giving
it extra layers of fat. It'll restore all your hearts
and temporarily increase your maximum
hearts when used in cooking.",Hebra Mountains,Tabantha Frontier,-,-,-,-,-,Hearty Salmon,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,マックスサーモン,"寒冷地の川や湖に棲む魚  調理して食べると
寒さに耐えるため 体内に蓄えられた脂身が
ハートを全回復し 最大値を増やす効果をもたらす",,Item_FishGet_I
057,Chillfin Trout,,,Creatures,"This blue trout prefers cold bodies of water.
Its skin contains enzymes that keep its body
cool, and when cooked into a dish, it will
temporarily boost your heat resistance.",Hebra Mountains,Lanayru Great Spring,-,-,-,-,-,Chillfin Trout,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ヒンヤリマス,"冷たい水場を好む 青いマス  
その皮には 身体を冷やす成分が含まれるといわれ
調理して食べると 暑さに耐性を持つ事ができる",,Item_FishGet_C
058,Sizzlefin Trout,,,Creatures,"This red trout prefers warm bodies of water.
It has a special organ specifically for storing
heat. When cooked into a dish, it temporarily
boosts your resistance to the cold.",Eldin Canyon,Hebra Mountains,-,-,-,-,-,Sizzlefin Trout,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ポカポカマス,"暖かい水場を好む赤いマス 体内に熱を蓄える
特殊な臓器を持ち 食材として使うと 体を芯から
温める効能を持つ料理を作る事ができる",,Item_FishGet_J
059,Voltfin Trout,,,Creatures,"This trout makes its home in the freshwater
lakes. Its scales have an insulating
compound that, when cooked into a dish,
offers resistance to electricity.",Tabantha Frontier,-,-,-,-,-,-,Voltfin Trout,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ビリビリマス,"湖などの淡水に棲むマス
絶縁成分を含む鱗は 食材に使うと
電気に耐性を得られる料理になる",,Item_FishGet_D
060,Stealthfin Trout,,,Creatures,"Consuming the bioluminescent compound
that makes this fish glow in the dark will
increase concentration. Dishes cooked
with it will suppress noise when consumed.",Great Hyrule Forest,-,-,-,-,-,-,Stealthfin Trout,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,シノビマス,"暗いところで光る魚  鱗が持つ発光物質には
集中力を高める成分が含まれており 料理に使うと
慎重に物音を立てずに行動できるようになる",,Item_FishGet_X
061,Mighty Carp,,,Creatures,"This freshwater fish lives alongside its less
mighty carp ilk. A compound in its liver
promotes muscle growth. Dishes cooked with
it will temporarily increase your attack power.",Lanayru Great Spring,Akkala Highlands,-,-,-,-,-,Mighty Carp,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ツルギゴイ,"淡水に生息するコイの仲間
キモに含まれる成分に 筋力増強効果があるとされ
料理して食べると 攻撃力が増す",,Item_FishGet_E
062,Armored Carp,,,Creatures,"Calcium deposits in the scales of this ancient
fish make them as hard as armor. Cooking it
into a dish will fortify your bones, temporarily
increasing your defense.",East Necluda,Lanayru Great Spring,-,-,-,-,-,Armored Carp,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ヨロイゴイ,"硬い鎧のような鱗を持った古代魚
料理に使うと 鱗に蓄えられた成分で
骨が強くなり 防御力が増す",,Item_FishGet_H
063,Sanke Carp,,,Creatures,"This wild armored carp has been bred into
a prizewinning fish. Its beautifully colored
markings do not occur in nature. It offers
no special effects when cooked.",Kakariko Village,-,-,-,-,-,-,Sanke Carp,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,サンケゴイ,"野生のヨロイゴイを人の手で改良した観賞魚
自然界には存在しない美しい色と模様を持つ
料理に使っても特別な効果はない",,Item_FishGet_Z
064,Ancient Arowana,,,Creatures,"A lively fish that hasn't changed much since
ancient times. Its nutritious meat can restore
a bit of health.",Great Sky Island,North Tabantha Sky Archipelago,-,-,-,-,-,Ancient Arowana,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ムカシアロワナ,"今もなお太古の姿を残す 活力あふれる魚
引き締まった身は栄養たっぷりで
食べるとハートを回復する事ができる",,Item_FishGet_AA
065,Glowing Cave Fish,,,Creatures,"A luminous fish that lives in dark caves. When
consumed, its light enzyme can make one's
body glow.",Hyrule Caves,-,-,-,-,-,-,Glowing Cave Fish,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,アカリホラウオ,"暗い洞窟の中に生息する 発光する魚
その光る酵素を含んだ料理は
食べた者の身体を光らせる効能がある",,Item_FishGet_AC
066,Mighty Porgy,,,Creatures,"This ocean-dwelling fish comes with one rude
attitude. The compounds in its flesh elevate
your competitive spirit when it's cooked into
a dish, thus increasing your attack power.",Faron Sea,Necluda Sea,-,-,-,-,-,Mighty Porgy,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ツルギダイ,"海にいる気性の荒い魚
調理して食べると 身に含まれる成分により
闘争心が向上し 攻撃力が増すといわれる",,Item_FishGet_F
067,Armored Porgy,,,Creatures,"This porgy's body is covered in armor-hard
scales. The compounds in its scales, when
cooked into a dish, fortify your bones and
temporarily boost your defense.",Necluda Sea,Lanayru Sea,-,-,-,-,-,Armored Porgy,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ヨロイダイ,"全身が硬い鱗で覆われているタイ
料理に使うと 鱗に蓄えられた成分で
骨が頑強になり 防御力が増える",,Item_FishGet_G
068,Sneaky River Snail,,,Creatures,"This large, glow-in-the-dark snail lives in
fresh water. When cooked into a dish, it
heightens your senses so you can move
about silently.",Hyrule Ridge,Zora's Domain,-,-,-,-,-,Sneaky River Snail,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,シノビタニシ,"淡水に生息する大きな巻き貝 料理に使うと
聴覚が鋭くなり 物音を立てずに行動できる
ようになる 夜になるとホタルのような光を放つ",,Item_FishGet_M
069,Razorclaw Crab,,,Creatures,"This crab is well known for its exceptionally
sharp pincers. When cooked, the strength
compound in its claws will increase your
attack power.",Lanayru Sea,Necluda Sea,-,-,-,-,-,Razorclaw Crab,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ツルギガニ,"水辺に生息する 鋭いハサミが特徴のカニ
ハサミの肉には 筋力を上げる成分が含まれており
調理して食べると 攻撃力が増す",,Item_InsectGet_K
